source_global_id,target_global_id,scenario_id,edge_scope,relationship,label,source_diagram,target_diagram
enterprise_v3_0000::WAN-MPLS-CORE,enterprise_v3_0000::BR-RTR-01,enterprise_v3_0000,local,wan_dependency,MPLS,branch_topology,branch_topology
enterprise_v3_0000::BR-RTR-01,enterprise_v3_0000::BR-FW-01,enterprise_v3_0000,local,routes_to,VPN,branch_topology,branch_topology
enterprise_v3_0000::BR-FW-01,enterprise_v3_0000::BR-SW-01,enterprise_v3_0000,local,secured_by,LAN,branch_topology,branch_topology
enterprise_v3_0000::BR-SW-01,enterprise_v3_0000::BR-APP-01,enterprise_v3_0000,local,serves,HTTPS,branch_topology,branch_topology
enterprise_v3_0000::BR-SW-01,enterprise_v3_0000::BR-WRK-01,enterprise_v3_0000,local,connected_to,Access,branch_topology,branch_topology
enterprise_v3_0000::BR-SW-01,enterprise_v3_0000::BR-WRK-02,enterprise_v3_0000,local,connected_to,Access,branch_topology,branch_topology
enterprise_v3_0000::BR-SW-01,enterprise_v3_0000::BR-WRK-03,enterprise_v3_0000,local,connected_to,Access,branch_topology,branch_topology
enterprise_v3_0000::WAN-ISP-01,enterprise_v3_0000::WAN-MPLS-CORE,enterprise_v3_0000,local,routes_to,BGP,wan_topology,wan_topology
enterprise_v3_0000::WAN-ISP-02,enterprise_v3_0000::WAN-MPLS-CORE,enterprise_v3_0000,local,routes_to,BGP,wan_topology,wan_topology
enterprise_v3_0000::WAN-MPLS-CORE,enterprise_v3_0000::WAN-PE-01,enterprise_v3_0000,local,routes_to,MPLS,wan_topology,wan_topology
enterprise_v3_0000::WAN-MPLS-CORE,enterprise_v3_0000::WAN-PE-02,enterprise_v3_0000,local,routes_to,MPLS,wan_topology,wan_topology
enterprise_v3_0000::WAN-PE-01,enterprise_v3_0000::BR-RTR-01,enterprise_v3_0000,local,connected_to,L3VPN,wan_topology,wan_topology
enterprise_v3_0000::WAN-PE-02,enterprise_v3_0000::DC-RTR-01,enterprise_v3_0000,local,connected_to,L3VPN,wan_topology,wan_topology
enterprise_v3_0000::DC-RTR-01,enterprise_v3_0000::DC-FW-01,enterprise_v3_0000,local,routes_to,DC Edge,wan_topology,wan_topology
enterprise_v3_0000::DC-RTR-01,enterprise_v3_0000::DC-FW-01,enterprise_v3_0000,local,routes_to,MPLS,datacenter_topology,datacenter_topology
