global_node_id,scenario_id,split,node_id,type,diagram_id,diagram_type,canonical_id,is_shared_entity,ip_address,zone
enterprise_v3_0000::BR-RTR-01,enterprise_v3_0000,train,BR-RTR-01,router,branch_topology,branch,BR-RTR-01,True,10.0.1.1,Branch Edge
enterprise_v3_0000::BR-FW-01,enterprise_v3_0000,train,BR-FW-01,firewall,branch_topology,branch,BR-FW-01,False,10.0.1.2,Branch Edge
enterprise_v3_0000::BR-SW-01,enterprise_v3_0000,train,BR-SW-01,switch,branch_topology,branch,BR-SW-01,False,10.0.1.3,Branch LAN
enterprise_v3_0000::BR-APP-01,enterprise_v3_0000,train,BR-APP-01,server,branch_topology,branch,BR-APP-01,True,10.0.1.4,Branch Apps
enterprise_v3_0000::BR-WRK-01,enterprise_v3_0000,train,BR-WRK-01,server,branch_topology,branch,BR-WRK-01,False,10.0.1.5,Branch LAN
enterprise_v3_0000::BR-WRK-02,enterprise_v3_0000,train,BR-WRK-02,server,branch_topology,branch,BR-WRK-02,False,10.0.1.6,Branch LAN
enterprise_v3_0000::BR-WRK-03,enterprise_v3_0000,train,BR-WRK-03,server,branch_topology,branch,BR-WRK-03,False,10.0.1.7,Branch LAN
enterprise_v3_0000::WAN-MPLS-CORE,enterprise_v3_0000,train,WAN-MPLS-CORE,cloud_or_wan,branch_topology,branch,WAN-MPLS-CORE,True,,WAN
enterprise_v3_0000::WAN-ISP-01,enterprise_v3_0000,train,WAN-ISP-01,cloud_or_wan,wan_topology,wan,WAN-ISP-01,False,172.16.0.1,Internet/ISP
enterprise_v3_0000::WAN-ISP-02,enterprise_v3_0000,train,WAN-ISP-02,cloud_or_wan,wan_topology,wan,WAN-ISP-02,False,172.16.0.2,Internet/ISP
enterprise_v3_0000::WAN-PE-01,enterprise_v3_0000,train,WAN-PE-01,router,wan_topology,wan,WAN-PE-01,False,172.16.0.4,WAN PE
enterprise_v3_0000::WAN-PE-02,enterprise_v3_0000,train,WAN-PE-02,router,wan_topology,wan,WAN-PE-02,False,172.16.0.5,WAN PE
enterprise_v3_0000::DC-RTR-01,enterprise_v3_0000,train,DC-RTR-01,router,wan_topology,wan,DC-RTR-01,True,,DC Edge
enterprise_v3_0000::DC-FW-01,enterprise_v3_0000,train,DC-FW-01,firewall,wan_topology,wan,DC-FW-01,True,,DC Edge
enterprise_v3_0000::DC-FW-02,enterprise_v3_0000,train,DC-FW-02,firewall,datacenter_topology,datacenter,DC-FW-02,False,10.100.1.2,DC Edge
enterprise_v3_0000::DC-CORE-SW-01,enterprise_v3_0000,train,DC-CORE-SW-01,switch,datacenter_topology,datacenter,DC-CORE-SW-01,True,10.100.1.4,DC Core
enterprise_v3_0000::DC-CORE-SW-02,enterprise_v3_0000,train,DC-CORE-SW-02,switch,datacenter_topology,datacenter,DC-CORE-SW-02,False,10.100.1.5,DC Core
enterprise_v3_0000::DC-AGG-SW-01,enterprise_v3_0000,train,DC-AGG-SW-01,switch,datacenter_topology,datacenter,DC-AGG-SW-01,True,10.100.1.6,DC Aggregation
enterprise_v3_0000::DC-SRV-01,enterprise_v3_0000,train,DC-SRV-01,server,datacenter_topology,datacenter,DC-SRV-01,False,10.100.1.7,DC Compute
enterprise_v3_0000::DC-SRV-02,enterprise_v3_0000,train,DC-SRV-02,server,datacenter_topology,datacenter,DC-SRV-02,False,10.100.1.8,DC Compute
enterprise_v3_0000::DC-SRV-03,enterprise_v3_0000,train,DC-SRV-03,server,datacenter_topology,datacenter,DC-SRV-03,False,10.100.1.9,DC Compute
