split,scenario_id,diagram_id,diagram_type,image_exists,width,height,object_count,connector_count,invalid_class_count,malformed_bbox_count,out_of_bounds_bbox_count,tiny_bbox_count,suspicious_large_bbox_count,very_large_bbox_count,suspicious_wide_bbox_count,suspicious_tall_bbox_count,missing_object_id_count,missing_label_text_count,malformed_connector_count,suspicious_long_connector_count,possible_cross_diagram_connector_count,max_bbox_area_ratio,max_connector_length_ratio,suspicious_score,annotation_path,image_path
train,enterprise_v3_0000,app_db_topology,app_db_topology,True,1400,900,13,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0.00367,0.481245,4,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\annotations\app_db_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\diagrams\app_db_topology.png
train,enterprise_v3_0000,branch_topology,branch_topology,True,1400,900,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00367,0.296956,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\annotations\branch_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\diagrams\branch_topology.png
train,enterprise_v3_0000,datacenter_topology,datacenter_topology,True,1400,900,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.288585,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\annotations\datacenter_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\diagrams\datacenter_topology.png
train,enterprise_v3_0000,shared_services_topology,shared_services_topology,True,1400,900,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.476188,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\annotations\shared_services_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\diagrams\shared_services_topology.png
train,enterprise_v3_0000,wan_topology,wan_topology,True,1400,900,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.30934,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\annotations\wan_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0000\diagrams\wan_topology.png
train,enterprise_v3_0001,app_db_topology,app_db_topology,True,1400,900,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.389352,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\annotations\app_db_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\diagrams\app_db_topology.png
train,enterprise_v3_0001,branch_topology,branch_topology,True,1400,900,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00367,0.296956,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\annotations\branch_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\diagrams\branch_topology.png
train,enterprise_v3_0001,datacenter_topology,datacenter_topology,True,1400,900,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.288585,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\annotations\datacenter_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\diagrams\datacenter_topology.png
train,enterprise_v3_0001,shared_services_topology,shared_services_topology,True,1400,900,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.476188,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\annotations\shared_services_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\diagrams\shared_services_topology.png
train,enterprise_v3_0001,wan_topology,wan_topology,True,1400,900,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0.30934,0,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\annotations\wan_topology.json,datasets\infragraph_v3\scenarios\train\enterprise_v3_0001\diagrams\wan_topology.png
