epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0905,1.2034,4.03875,1.00061,0,0,0,0,0,0,0,0.00012726,0.00012726,0.00012726
2,18.4563,0.63392,1.92571,0.83075,0,0,0,0,0,0,0,0.000254911,0.000254911,0.000254911
3,26.9286,0.5025,1.04236,0.81241,0,0,0,0,0,0,0,0.000373563,0.000373563,0.000373563
4,35.3638,0.45718,0.78406,0.80425,0,0,0,0,0,0,0,0.000483215,0.000483215,0.000483215
5,43.7666,0.41472,0.69378,0.80276,0,0,0,0,0,0,0,0.000583869,0.000583869,0.000583869
6,52.1817,0.39986,0.64161,0.80149,0,0,0,0,0,0,0,0.000675523,0.000675523,0.000675523
7,60.6017,0.35759,0.62843,0.7982,0,0,0,0,0,0,0,0.000729018,0.000729018,0.000729018
8,69.0279,0.34382,0.56864,0.79109,0,0,0,0,0,0,0,0.000699021,0.000699021,0.000699021
9,77.4556,0.3217,0.53868,0.79233,0,0,0,0,0,0,0,0.000669024,0.000669024,0.000669024
10,85.8967,0.3297,0.51247,0.78803,0,0,0,0,0,0,0,0.000639027,0.000639027,0.000639027
11,94.3528,0.30125,0.49984,0.78582,0,0,0,0,0,0,0,0.00060903,0.00060903,0.00060903
12,102.786,0.29899,0.48291,0.7823,0,0,0,0,0,0,0,0.000579033,0.000579033,0.000579033
13,111.183,0.27771,0.4761,0.78841,0,0,0,0,0,0,0,0.000549036,0.000549036,0.000549036
14,119.629,0.26403,0.45494,0.78199,0,0,0,0,0,0,0,0.000519039,0.000519039,0.000519039
15,128.268,0.26016,0.44224,0.78438,0,0,0,0,0,0,0,0.000489042,0.000489042,0.000489042
16,136.697,0.25691,0.43271,0.78095,0,0,0,0,0,0,0,0.000459045,0.000459045,0.000459045
17,145.164,0.24079,0.41802,0.78222,0,0,0,0,0,0,0,0.000429048,0.000429048,0.000429048
18,153.595,0.23407,0.41245,0.78027,0,0,0,0,0,0,0,0.000399051,0.000399051,0.000399051
19,162.044,0.22159,0.4037,0.77769,0,0,0,0,0,0,0,0.000369054,0.000369054,0.000369054
20,170.54,0.23058,0.39823,0.77795,0,0,0,0,0,0,0,0.000339057,0.000339057,0.000339057
21,181.148,0.2098,0.48626,0.77055,0,0,0,0,0,0,0,0.00030906,0.00030906,0.00030906
22,189.629,0.19642,0.458,0.7771,0,0,0,0,0,0,0,0.000279063,0.000279063,0.000279063
23,198.115,0.18854,0.44924,0.77147,0,0,0,0,0,0,0,0.000249066,0.000249066,0.000249066
24,206.577,0.18048,0.42746,0.77259,0,0,0,0,0,0,0,0.000219069,0.000219069,0.000219069
25,215.04,0.17936,0.42744,0.77112,0,0,0,0,0,0,0,0.000189072,0.000189072,0.000189072
26,223.516,0.17826,0.42337,0.7717,0,0,0,0,0,0,0,0.000159075,0.000159075,0.000159075
27,232.021,0.16954,0.41309,0.77347,0,0,0,0,0,0,0,0.000129078,0.000129078,0.000129078
28,240.509,0.17954,0.41527,0.76916,0,0,0,0,0,0,0,9.9081e-05,9.9081e-05,9.9081e-05
29,248.992,0.16065,0.403,0.76974,0,0,0,0,0,0,0,6.9084e-05,6.9084e-05,6.9084e-05
